mark;Model;Mileage;Year;Car_class;Maximum_power;Drive_unit;Box;Boost_type;Volume;Torque;Maximum_speed;Speed_to_100;Consumption;Price
Mercedes-Benz;G-Class;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;0.0;199.0;7.4;9.8;12902800.0
Mercedes-Benz;G-Class;0.0;2020.0;J;330.0;full;automatic;turbocharging;2.9;700.0;210.0;6.4;9.6;15709500.0
Mercedes-Benz;G-Class;15500.0;2019.0;J;422.0;full;automatic;turbocharging;4.0;610.0;210.0;5.9;12.1;13890000.0
Mercedes-Benz;G-Class;0.0;2020.0;J;422.0;full;automatic;turbocharging;4.0;610.0;210.0;5.9;12.1;13116000.0
Mercedes-Benz;G-Class;15297.0;2019.0;J;422.0;full;automatic;turbocharging;4.0;610.0;210.0;5.9;12.1;11450000.0
Mercedes-Benz;G-Class;0.0;2020.0;J;330.0;full;automatic;turbocharging;2.9;700.0;210.0;6.4;9.6;14599000.0
Mercedes-Benz;G-Class;32.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;0.0;199.0;7.4;9.8;11898000.0
Mercedes-Benz;G-Class;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;0.0;199.0;7.4;9.8;15145200.0
Mercedes-Benz;G-Class;0.0;2020.0;J;422.0;full;automatic;turbocharging;4.0;610.0;210.0;5.9;12.1;18545400.0
Mercedes-Benz;G-Class;33.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;0.0;199.0;7.4;9.8;11798000.0
Mercedes-Benz;G-Class;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;0.0;199.0;7.4;9.8;13500000.0
Mercedes-Benz;G-Class;119.0;2020.0;J;422.0;full;automatic;turbocharging;4.0;610.0;210.0;5.9;12.1;15048000.0
Mercedes-Benz;GLC;0.0;2020.0;J;197.0;full;automatic;turbocharging;2.0;320.0;215.0;7.9;7.4;3470400.0
Mercedes-Benz;GLC;4300.0;2020.0;J;197.0;full;automatic;turbocharging;2.0;320.0;215.0;7.9;7.4;3590000.0
Mercedes-Benz;GLC;0.0;2020.0;J;194.0;full;automatic;turbocharging;2.0;400.0;215.0;7.9;5.4;3516000.0
