mark,Box,Drive_unit,Country,Color,Mileage,Year,Car_type,Model,Maximum_power,Maximum_speed,Consumption,Price
Mercedes-Benz,automatic,full,German,black,0.0,2020.0,SUV,G-Class,249.0,199.0,9.8,12902800.0
Mercedes-Benz,automatic,full,German,green,0.0,2020.0,SUV,G-Class,330.0,210.0,9.6,15709500.0
Mercedes-Benz,automatic,full,German,black,15500.0,2019.0,SUV,G-Class,422.0,210.0,12.1,13890000.0
Mercedes-Benz,automatic,full,German,black,0.0,2020.0,SUV,G-Class,422.0,210.0,12.1,13116000.0
Mercedes-Benz,automatic,full,German,gray,15297.0,2019.0,SUV,G-Class,422.0,210.0,12.1,11450000.0
Mercedes-Benz,automatic,full,German,black,0.0,2020.0,SUV,G-Class,330.0,210.0,9.6,14599000.0
Mercedes-Benz,automatic,full,German,black,32.0,2020.0,SUV,G-Class,249.0,199.0,9.8,11898000.0
Mercedes-Benz,automatic,full,German,black,0.0,2020.0,SUV,G-Class,249.0,199.0,9.8,15145200.0
Mercedes-Benz,automatic,full,German,gray,0.0,2020.0,SUV,G-Class,422.0,210.0,12.1,18545400.0
Mercedes-Benz,automatic,full,German,blue,33.0,2020.0,SUV,G-Class,249.0,199.0,9.8,11798000.0
Mercedes-Benz,automatic,full,German,black,0.0,2020.0,SUV,G-Class,249.0,199.0,9.8,13500000.0
Mercedes-Benz,automatic,full,German,black,119.0,2020.0,SUV,G-Class,422.0,210.0,12.1,15048000.0
Mercedes-Benz,automatic,full,German,blue,0.0,2020.0,SUV,GLC,197.0,215.0,7.4,3470400.0
Mercedes-Benz,automatic,full,German,white,4300.0,2020.0,SUV,GLC,197.0,215.0,7.4,3590000.0
Mercedes-Benz,automatic,full,German,black,0.0,2020.0,SUV,GLC,194.0,215.0,5.4,3516000.0
Mercedes-Benz,automatic,full,German,black,0.0,2020.0,SUV,GLC,194.0,215.0,5.4,3278420.0
Mercedes-Benz,automatic,full,German,gray,0.0,2020.0,SUV,GLC,245.0,231.0,5.9,4096215.0
Mercedes-Benz,automatic,full,German,black,2580.0,2020.0,SUV,GLC,249.0,240.0,7.4,4029000.0
Mercedes-Benz,automatic,full,German,blue,0.0,2020.0,SUV,GLC,194.0,215.0,5.4,4424630.0
Mercedes-Benz,automatic,full,German,black,0.0,2020.0,SUV,GLC,194.0,215.0,5.4,4311800.0
Mercedes-Benz,automatic,full,German,white,15943.0,2019.0,SUV,GLC,194.0,215.0,5.4,3399000.0
Mercedes-Benz,automatic,full,German,gray,0.0,2020.0,SUV,GLC,194.0,215.0,5.4,3675120.0
Mercedes-Benz,automatic,full,German,gray,30013.0,2019.0,SUV,GLC,194.0,215.0,5.4,3299000.0
Mercedes-Benz,automatic,full,German,red,0.0,2020.0,SUV,GLC,194.0,215.0,5.4,3660260.0
Mercedes-Benz,automatic,full,German,white,34800.0,2019.0,SUV,GLC,194.0,215.0,5.4,3399000.0
Mercedes-Benz,automatic,full,German,black,0.0,2020.0,SUV,GLC,249.0,240.0,7.4,4976800.0
Mercedes-Benz,automatic,full,German,red,0.0,2020.0,SUV,GLC,194.0,215.0,5.4,3717224.0
Mercedes-Benz,automatic,full,German,blue,0.0,2020.0,SUV,GLE,245.0,225.0,6.4,5996000.0
Mercedes-Benz,automatic,full,German,blue,2800.0,2020.0,SUV,GLE,245.0,225.0,6.4,6035000.0
Mercedes-Benz,automatic,full,German,white,0.0,2020.0,SUV,GLE,330.0,245.0,7.5,6676685.0
Mercedes-Benz,automatic,full,German,red,21000.0,2019.0,SUV,GLE,367.0,250.0,9.4,5850000.0
Mercedes-Benz,automatic,full,German,black,0.0,2020.0,SUV,GLE,330.0,245.0,7.5,7190000.0
Mercedes-Benz,automatic,full,German,white,12130.0,2019.0,SUV,GLE,245.0,225.0,6.4,5447000.0
Mercedes-Benz,automatic,full,German,white,0.0,2020.0,SUV,GLE,330.0,245.0,7.5,7667040.0
Mercedes-Benz,automatic,full,German,blue,0.0,2020.0,SUV,GLE,367.0,250.0,9.4,6502000.0
Mercedes-Benz,automatic,full,German,black,0.0,2020.0,SUV,GLE,330.0,245.0,7.5,7030900.0
Mercedes-Benz,automatic,full,German,silver,17384.0,2019.0,SUV,GLE,330.0,245.0,7.5,5778000.0
Mercedes-Benz,automatic,full,German,blue,0.0,2020.0,SUV,GLE,367.0,250.0,9.4,6644700.0
Mercedes-Benz,automatic,full,German,black,43455.0,2019.0,SUV,GLE,330.0,245.0,7.5,5399000.0
Mercedes-Benz,automatic,full,German,white,0.0,2020.0,SUV,GLE,245.0,225.0,6.4,5350000.0
Mercedes-Benz,automatic,full,German,blue,0.0,2020.0,SUV,GLE Coupe,249.0,226.0,8.0,7925800.0
Mercedes-Benz,automatic,full,German,gray,0.0,2020.0,SUV,GLE Coupe,249.0,226.0,8.0,7450000.0
Mercedes-Benz,automatic,full,German,silver,9.0,2020.0,SUV,GLE Coupe,330.0,240.0,8.0,6997000.0
Mercedes-Benz,automatic,full,German,blue,0.0,2020.0,SUV,GLE Coupe,330.0,240.0,8.0,8772960.0
