mark;Model;Mileage;Year;Car_class;Maximum_power;Drive_unit;Box;Boost_type;Volume;Torque;Maximum_speed;Speed_to_100;Consumption
Mercedes-Benz;G-Class;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;0.0;199.0;7.4;9.8
Mercedes-Benz;G-Class;0.0;2020.0;J;330.0;full;automatic;turbocharging;2.9;700.0;210.0;6.4;9.6
Mercedes-Benz;G-Class;15500.0;2019.0;J;422.0;full;automatic;turbocharging;4.0;610.0;210.0;5.9;12.1
Mercedes-Benz;G-Class;0.0;2020.0;J;422.0;full;automatic;turbocharging;4.0;610.0;210.0;5.9;12.1
Mercedes-Benz;G-Class;15297.0;2019.0;J;422.0;full;automatic;turbocharging;4.0;610.0;210.0;5.9;12.1
Mercedes-Benz;G-Class;0.0;2020.0;J;330.0;full;automatic;turbocharging;2.9;700.0;210.0;6.4;9.6
Mercedes-Benz;G-Class;32.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;0.0;199.0;7.4;9.8
Mercedes-Benz;G-Class;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;0.0;199.0;7.4;9.8
Mercedes-Benz;G-Class;0.0;2020.0;J;422.0;full;automatic;turbocharging;4.0;610.0;210.0;5.9;12.1
Mercedes-Benz;G-Class;33.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;0.0;199.0;7.4;9.8
Mercedes-Benz;G-Class;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;0.0;199.0;7.4;9.8
Mercedes-Benz;G-Class;119.0;2020.0;J;422.0;full;automatic;turbocharging;4.0;610.0;210.0;5.9;12.1
Mercedes-Benz;GLC;0.0;2020.0;J;197.0;full;automatic;turbocharging;2.0;320.0;215.0;7.9;7.4
Mercedes-Benz;GLC;4300.0;2020.0;J;197.0;full;automatic;turbocharging;2.0;320.0;215.0;7.9;7.4
Mercedes-Benz;GLC;0.0;2020.0;J;194.0;full;automatic;turbocharging;2.0;400.0;215.0;7.9;5.4
Mercedes-Benz;GLC;0.0;2020.0;J;194.0;full;automatic;turbocharging;2.0;400.0;215.0;7.9;5.4
